Date,HSI,SI,PI,CI,DTI,CTI
"Jul 31, 2019",516,982,1891,3657,621,456
"Jul 30, 2019",516,988,1969,3664,624,455
"Jul 29, 2019",516,996,2050,3660,632,461
"Jul 26, 2019",515,1005,2109,3647,634,466
"Jul 25, 2019",512,1012,2180,3609,634,469
"Jul 24, 2019",506,1019,2209,3808,628,471
"Jul 23, 2019",503,1017,2219,4315,626,473
"Jul 22, 2019",497,1002,2201,4438,624,478
"Jul 19, 2019",492,982,2170,4379,622,480
"Jul 18, 2019",486,953,2134,4256,625,491
"Jul 17, 2019",481,928,2085,4095,627,501
"Jul 16, 2019",477,905,2052,3968,623,513
"Jul 15, 2019",472,888,1992,3724,627,523
"Jul 12, 2019",472,879,1945,3541,628,524
"Jul 11, 2019",468,860,1881,3416,631,525
"Jul 10, 2019",463,845,1791,3361,633,524
"Jul 09, 2019",458,835,1739,3343,640,529
"Jul 08, 2019",454,829,1695,3260,645,536
"Jul 05, 2019",448,820,1665,3346,650,542
"Jul 04, 2019",443,814,1569,3298,652,545
"Jul 03, 2019",440,803,1433,2939,660,551
"Jul 02, 2019",439,796,1370,2717,673,547
"Jul 01, 2019",441,792,1317,2557,679,543
"Jun 28, 2019",442,787,1286,2488,680,539
"Jun 27, 2019",443,783,1243,2465,677,536
"Jun 26, 2019",442,774,1191,2440,678,543
"Jun 25, 2019",442,765,1150,2389,679,550
"Jun 24, 2019",442,756,1111,2363,678,543
"Jun 21, 2019",440,751,1096,2278,679,510
"Jun 20, 2019",437,743,1101,2080,681,505
"Jun 19, 2019",432,736,1110,2051,676,498
"Jun 18, 2019",428,728,1117,1956,677,495
"Jun 17, 2019",422,720,1125,1826,668,492
"Jun 14, 2019",420,716,1131,1800,662,491
"Jun 13, 2019",419,710,1137,1718,657,494
"Jun 12, 2019",416,712,1149,1746,653,499
"Jun 11, 2019",414,714,1166,1798,654,507
"Jun 10, 2019",411,717,1187,1848,645,517
"Jun 07, 2019",412,719,1213,1862,643,521
"Jun 06, 2019",408,726,1246,1826,635,521
"Jun 05, 2019",405,731,1285,1806,632,518
"Jun 04, 2019",403,739,1304,1739,633,515
"Jun 03, 2019",401,748,1325,1650,634,523
"May 31, 2019",398,752,1335,1620,636,537
"May 30, 2019",397,756,1340,1623,643,538
"May 29, 2019",395,763,1337,1659,651,541
"May 28, 2019",394,771,1322,1585,658,539
"May 24, 2019",393,778,1304,1545,665,527
"May 23, 2019",391,779,1287,1558,666,524
"May 22, 2019",389,778,1268,1537,672,522
"May 21, 2019",388,777,1258,1501,673,521
"May 20, 2019",386,778,1256,1470,674,516
"May 17, 2019",385,780,1255,1463,678,512
"May 16, 2019",383,783,1252,1428,683,507
"May 15, 2019",381,784,1243,1417,697,504
"May 14, 2019",381,783,1229,1462,704,505
"May 13, 2019",382,782,1211,1405,703,510
"May 10, 2019",382,779,1198,1371,697,516
"May 09, 2019",382,776,1193,1270,680,521
"May 08, 2019",382,770,1188,1159,672,523
"May 07, 2019",382,761,1189,1119,662,514
"May 03, 2019",382,752,1190,1290,645,536
"May 02, 2019",384,755,1189,1420,638,546
"May 01, 2019",386,763,1187,1389,635,553
"Apr 30, 2019",384,768,1188,1276,634,567
"Apr 29, 2019",386,777,1189,884,638,581
"Apr 26, 2019",389,780,1186,783,640,584
"Apr 25, 2019",391,781,1182,691,635,586
"Apr 24, 2019",392,773,1177,648,636,573
"Apr 23, 2019",391,751,1171,572,644,571
"Apr 18, 2019",390,732,1162,490,653,576
"Apr 17, 2019",394,726,1147,463,652,584
"Apr 16, 2019",397,718,1119,459,643,574
"Apr 15, 2019",399,714,1092,445,639,577
"Apr 12, 2019",403,711,1073,418,639,586
"Apr 11, 2019",406,715,1071,423,634,592
"Apr 10, 2019",411,718,1074,428,620,596
"Apr 09, 2019",419,726,1085,375,618,600
"Apr 08, 2019",425,733,1101,312,610,604
"Apr 05, 2019",432,742,1114,276,617,614
"Apr 04, 2019",437,757,1124,210,618,644
"Apr 03, 2019",448,775,1127,104,623,676
"Apr 02, 2019",455,795,1120,92,632,709
"Apr 01, 2019",461,807,1110,122,640,734
"Mar 29, 2019",464,813,1102,150,648,737
"Mar 28, 2019",467,823,1087,167,651,744
"Mar 27, 2019",466,831,1056,178,663,723
"Mar 26, 2019",463,833,1053,190,678,703
"Mar 25, 2019",458,830,1036,230,688,684
"Mar 22, 2019",455,826,1027,251,695,669
"Mar 21, 2019",449,813,1009,288,700,650
"Mar 20, 2019",446,796,962,399,705,634
"Mar 19, 2019",443,789,922,421,715,627
"Mar 18, 2019",440,787,905,476,730,613
"Mar 15, 2019",437,786,883,520,735,606
"Mar 14, 2019",434,786,841,403,737,603
"Mar 13, 2019",430,789,823,327,740,588
"Mar 12, 2019",429,789,839,278,743,580
"Mar 11, 2019",424,790,866,250,737,575
"Mar 08, 2019",421,790,894,235,742,575
"Mar 07, 2019",418,790,926,236,747,577
"Mar 06, 2019",413,783,938,270,753,584
"Mar 05, 2019",407,776,924,299,754,585
"Mar 04, 2019",397,767,900,355,762,581
"Mar 01, 2019",393,759,863,383,774,575
"Feb 28, 2019",388,749,813,459,781,576
"Feb 27, 2019",382,738,752,500,796,580
"Feb 26, 2019",372,729,713,522,799,583
"Feb 25, 2019",366,721,685,520,801,588
"Feb 22, 2019",359,707,666,545,823,595
"Feb 21, 2019",353,686,657,570,828,594
"Feb 20, 2019",345,649,649,578,831,605
"Feb 19, 2019",335,625,639,650,828,607
"Feb 18, 2019",322,594,628,713,819,605
"Feb 15, 2019",315,560,624,727,818,609
"Feb 14, 2019",311,526,619,729,806,613
"Feb 13, 2019",302,478,611,707,798,618
"Feb 12, 2019",296,454,600,711,790,624
"Feb 11, 2019",292,429,586,736,791,618
"Feb 08, 2019",290,415,574,792,795,624
"Feb 07, 2019",290,414,561,846,797,629
"Feb 06, 2019",294,415,553,929,805,633
"Feb 05, 2019",294,423,553,972,806,636
"Feb 04, 2019",301,438,552,984,824,640
"Feb 01, 2019",311,450,560,1014,843,649
"Jan 31, 2019",328,472,574,1116,848,653
"Jan 30, 2019",347,498,612,1295,859,659
"Jan 29, 2019",368,526,644,1508,872,667
"Jan 28, 2019",384,552,687,1631,874,669
"Jan 25, 2019",395,576,748,1730,877,672
"Jan 24, 2019",409,607,828,1726,875,668
"Jan 23, 2019",423,638,893,1775,866,668
"Jan 22, 2019",432,660,950,1892,868,664
"Jan 21, 2019",442,680,991,2024,875,659
"Jan 18, 2019",451,701,1018,2037,873,661
"Jan 17, 2019",466,729,1045,1868,891,665
"Jan 16, 2019",483,755,1079,1748,899,665
"Jan 15, 2019",499,785,1104,1831,920,655
"Jan 14, 2019",511,814,1118,1952,925,659
"Jan 11, 2019",524,842,1137,1966,929,667
"Jan 10, 2019",536,870,1170,1987,930,674
"Jan 09, 2019",546,893,1218,2078,957,683
"Jan 08, 2019",556,918,1257,2117,967,684
"Jan 07, 2019",563,933,1300,2016,973,666
"Jan 04, 2019",571,946,1331,2003,982,656
"Jan 03, 2019",578,958,1365,1963,999,657
"Jan 02, 2019",588,967,1391,1987,1009,666
"Dec 24, 2018",596,975,1421,1905,1256,823
"Dec 21, 2018",597,977,1437,1913,1258,833
"Dec 20, 2018",602,979,1473,2071,1266,844
"Dec 19, 2018",607,979,1492,2264,1240,860
"Dec 18, 2018",611,977,1494,2393,1230,895
"Dec 17, 2018",614,978,1490,2433,1223,909
"Dec 14, 2018",617,974,1478,2383,1223,917
"Dec 13, 2018",621,968,1459,2180,1218,919
"Dec 12, 2018",622,963,1445,2153,1212,909
"Dec 11, 2018",623,958,1454,2183,1180,897
"Dec 10, 2018",624,955,1464,2244,1167,894
"Dec 07, 2018",625,953,1469,2197,1168,886
"Dec 06, 2018",625,951,1473,2080,1160,876
"Dec 05, 2018",625,950,1472,1925,1146,861
"Dec 04, 2018",625,949,1474,1739,1129,840
"Dec 03, 2018",626,945,1469,1638,1132,792
"Nov 30, 2018",626,944,1463,1755,1135,780
"Nov 29, 2018",628,945,1455,1950,1133,750
"Nov 28, 2018",629,942,1444,2121,1131,695
"Nov 27, 2018",631,943,1416,2170,1127,669
"Nov 26, 2018",633,947,1389,1789,1130,660
"Nov 23, 2018",635,952,1376,1358,1126,654
"Nov 22, 2018",638,956,1378,1089,1104,650
"Nov 21, 2018",642,959,1393,1056,1107,643
"Nov 20, 2018",644,963,1416,1002,1103,645
"Nov 19, 2018",645,964,1437,1050,1106,646
"Nov 16, 2018",646,969,1453,1057,1099,649
"Nov 15, 2018",649,970,1466,1007,1091,651
"Nov 14, 2018",652,982,1484,940,1082,652
"Nov 13, 2018",653,986,1498,1153,1086,654
"Nov 12, 2018",654,994,1496,1398,1092,652
"Nov 09, 2018",656,1003,1495,1461,1097,634
"Nov 08, 2018",658,1013,1496,1747,1104,614
"Nov 07, 2018",660,1021,1511,1968,1116,608
"Nov 06, 2018",663,1033,1528,2296,1134,583
"Nov 05, 2018",665,1041,1531,2397,1143,576
"Nov 02, 2018",666,1051,1530,2502,1152,574
"Nov 01, 2018",668,1061,1526,2530,1157,569
"Oct 31, 2018",671,1073,1524,2596,1150,567
"Oct 30, 2018",675,1087,1530,2630,1153,571
"Oct 29, 2018",675,1106,1556,2607,1141,573
"Oct 26, 2018",675,1117,1583,2526,1121,571
"Oct 25, 2018",676,1132,1622,2353,1099,569
"Oct 24, 2018",675,1144,1669,2388,1066,577
"Oct 23, 2018",673,1156,1715,2363,1051,582
"Oct 22, 2018",671,1163,1756,2296,1024,587
"Oct 19, 2018",670,1170,1775,2230,988,589
"Oct 18, 2018",668,1181,1789,2176,963,598
"Oct 17, 2018",665,1192,1796,2106,947,600
"Oct 16, 2018",663,1196,1793,2164,922,600
"Oct 15, 2018",661,1200,1779,2189,921,598
"Oct 12, 2018",657,1204,1775,2169,913,594
"Oct 11, 2018",652,1207,1763,2005,890,597
"Oct 10, 2018",647,1205,1749,1949,875,592
"Oct 09, 2018",643,1203,1747,1961,858,590
"Oct 08, 2018",639,1201,1749,2042,853,596
"Oct 05, 2018",637,1197,1727,2081,837,587
"Oct 04, 2018",634,1192,1706,2148,808,558
"Oct 03, 2018",633,1190,1679,2199,801,551
"Oct 02, 2018",631,1189,1678,2148,793,549
"Oct 01, 2018",630,1193,1692,2061,791,550
"Sep 28, 2018",629,1194,1695,2000,805,541
"Sep 27, 2018",627,1195,1689,1949,804,531
"Sep 26, 2018",626,1194,1677,1910,801,521
"Sep 25, 2018",622,1190,1639,1868,794,516
"Sep 24, 2018",622,1185,1609,1864,791,511
"Sep 21, 2018",617,1175,1586,1840,780,503
"Sep 20, 2018",612,1169,1557,1838,773,499
